"SOG" "COG" "Heading" "ROT" "BaseDateTime" "Status" "VoyageID" "MMSI" "ReceiverType" "ReceiverID" "coords.x1" "coords.x2" "monthday" "keep"
13.1999998092651 72.8000030517578 74 0 2012-12-05 11:47:18 0 45 257000349 "r" "17MADP1" -175.86942 51.288347 "12-5" 1
7.09999990463257 247 511 128 2012-12-05 12:01:13 15 46 303940600 "r" "17MADP1" -176.142863 52.138802 "12-5" 1
11.6999998092651 46.4000015258789 47 0 2012-12-05 22:12:41 0 48 241610000 "r" "17MADP1" -179.270648 51.842152 "12-5" 2
11.1000003814697 76.3000030517578 71 0 2012-12-06 03:59:16 0 48 241610000 "r" "17MADP1" -177.516522 52.208793 "12-6" 1
0 174 511 128 2012-12-06 04:00:32 15 46 303940600 "r" "17MADP1" -176.638298 51.861392 "12-6" 1
0.100000001490116 122 511 128 2012-12-06 12:00:21 15 46 303940600 "r" "17MADA1" -176.638322 51.861458 "12-6" 1
11 79.5 78 0 2012-12-06 12:59:06 0 48 241610000 "r" "17MADP1" -175.13186 52.549408 "12-6" 1
48.9000015258789 361.299987792969 158 235 2012-12-07 03:41:53 8 49 796095863 "r" "09SGHA1" -175.121565 38.522562 "12-7" 2
0.100000001490116 276 511 128 2012-12-07 03:59:44 15 46 303940600 "r" "17MADP1" -176.638367 51.86191 "12-7" 1
0 85 511 128 2012-12-07 11:59:44 15 46 303940600 "r" "17MADP1" -176.638358 51.861937 "12-7" 1
11 260.299987792969 259 0 2012-12-07 18:45:35 0 52 477700500 "r" "17MADP1" -175.388403 51.463452 "12-7" 2
14.6000003814697 270 270 0 2012-12-07 21:11:16 0 53 235058917 "r" "17MADP1" -176.86325 50.999783 "12-7" 2
6.40000009536743 77 68 0 2012-12-08 03:59:49 0 55 356050800 "r" "17MADA1" -177.5845 51.123333 "12-8" 1
12.5 256.399993896484 256 0 2012-12-08 03:59:49 0 54 636831103 "r" "17MADA1" -175.71403 51.328602 "12-8" 1
0.200000002980232 249 511 128 2012-12-08 04:00:24 15 46 303940600 "r" "17MADA1" -176.638395 51.861932 "12-8" 1
12.6000003814697 261.399993896484 261 0 2012-12-08 09:03:28 0 54 636831103 "r" "17MADA1" -177.440108 51.168927 "12-8" 1
14.3999996185303 265.600006103516 262 129 2012-12-08 09:12:56 0 57 351905040 "r" "17MADA1" -174.81601 51.712052 "12-8" 1
12.1999998092651 236 239 14 2012-12-08 10:22:54 0 58 239904050 "r" "17MADA1" -176.756567 52.78375 "12-8" 1
0.300000011920929 141 511 128 2012-12-08 12:00:04 15 46 303940600 "r" "17MADA1" -176.638362 51.861942 "12-8" 1
13.8999996185303 259.600006103516 259 129 2012-12-08 12:00:04 0 57 351905040 "r" "17MADA1" -175.813918 51.579432 "12-8" 1
2.90000009536743 36 49 0 2012-12-08 12:00:04 0 55 356050800 "r" "17MADA1" -176.638667 51.293833 "12-8" 1
4.09999990463257 134.600006103516 233 32 2012-12-08 12:12:39 1 59 576094295 "b" "003669707" -179.433553 48.269717 "12-8" 2
11.5 241 246 19 2012-12-08 12:48:18 0 58 239904050 "r" "17MADA1" -177.45125 52.567067 "12-8" 1
11.8000001907349 255.600006103516 258 0 2012-12-08 15:31:16 0 61 370170500 "r" "17MADA1" -175.242218 51.429643 "12-8" 2
11.8000001907349 270 268 0 2012-12-08 18:14:05 0 62 477603690 "r" "17MADP1" -174.8832 51.840117 "12-8" 2
19.8999996185303 261.100006103516 264 0 2012-12-08 21:55:30 0 64 477080707 "r" "17MADA1" -174.58047 51.734437 "12-8" 2
11 227.100006103516 224 129 2012-12-09 02:39:40 0 70 538402030 "r" "17MADA1" -175.162728 51.124482 "12-9" 1
12 252 251 0 2012-12-09 03:26:36 0 62 477603690 "r" "17MADA1" -177.807483 51.28745 "12-9" 2
12.5 261 264 0 2012-12-09 04:00:13 0 66 477313600 "r" "17MADA1" -176.08955 51.49345 "12-9" 1
12 263.100006103516 262 0 2012-12-09 04:00:16 0 69 477040396 "r" "17MADA1" -176.331158 51.332813 "12-9" 1
0.200000002980232 198 511 128 2012-12-09 04:00:16 15 46 303940600 "r" "17MADP1" -176.638385 51.861682 "12-9" 1
14.3000001907349 254 257 0 2012-12-09 04:00:26 0 68 356190900 "r" "17MADA1" -176.0555 51.456667 "12-9" 1
2.09999990463257 170 100 0 2012-12-09 04:02:20 2 55 356050800 "r" "17MADA1" -176.466833 50.981333 "12-9" 1
20.1000003814697 255.199996948242 258 0 2012-12-09 04:02:44 0 64 477080707 "r" "17MADA1" -177.913373 51.281103 "12-9" 1
