MMSI,IMO,CallSign,Name,VesselType,Length,Width,DimensionComponents
366981360,0,WXM5680,OLD BLUE,60,24,9,"9,15,7,2"
316005621,0,CY 9219,STORM CREST,31,15,5,"5,10,2,3"
367387230,0,WDE6970,SANDWICK,31,23,5,"16,7,1,4"
367190000,5137767,KAQJ,CAPT HA DOWNING,80,207,27,"162,45,6,21"
366831000,0,WBF5288,FRONTIEREXPLORER,30,41,9,"31,10,4,5"
366709770,0,WCX7878,CHELAN WSF,60,110,26,"25,85,13,13"
366976860,8127543,WRB5166,ANDREW FOSS,32,34,13,"12,22,9,4"
367055750,281751,WTW9266,MIKI MIKI,52,0,0,"0,0,0,0"
303628000,0,WSX6805,BOUNTIFUL,30,54,12,"40,14,10,2"
370585000,9354521,3ETK,ORIENT SUNSHINE,89,180,32,"150,30,22,10"
5096,0,0,,20,30,70,"10,20,30,40"
303072000,0,WCY8978,PINNACLE,0,38,10,"35,3,8,2"
366401480,0,WDD5082,TRAVELER,30,36,12,"17,19,6,6"
316005497,331841,,SEASPAN PRINCE,31,16,6,"10,6,3,3"
366904250,0,WDB4961,M\Y ALEXIS,37,28,7,"14,14,3,4"
210950000,9395044,C4SQ2,VARAMO,70,166,25,"147,19,13,12"
366976920,8127531,WRB3696,WEDELL FOSS,31,34,12,"14,20,8,4"
357940000,9213753,3FXP9,LAVIEEN ROSE,79,177,30,"155,22,17,13"
367134000,9353539,WABS,OVERSEAS LOS ANGELES,0,183,32,"149,34,16,16"
636090990,9215854,A8IK7,HYUNDAI DOMINION,70,304,40,"226,78,20,20"
367047170,0,WDC5837,MAVERICK,31,25,8,"11,14,3,5"
316011504,0,,SEALINK PUSHER,0,0,0,"0,0,0,0"
366919770,9253583,WDB6192,LYNN MARIE,52,31,14,"12,19,8,6"
316005626,0,,TIGER WOLF,52,15,6,"4,11,2,4"
366764740,0,WCZ2047,TUG CHIEF,52,34,12,"17,17,6,6"
367013020,0,WTK6831,SPIRIT OF SEATTLE,0,36,20,"16,20,3,17"
367350050,0,WDE4199,ALCATRAZ CLIPPER,60,42,11,"17,25,4,7"
366083819,712869300,WUZ7636,F/V PAPADO II,30,0,0,"0,0,0,0"
367078130,628958,WDC7865,SEA STORM,30,40,10,"10,30,5,5"
367013060,0,WCY4834,LADY MARY,60,26,8,"14,12,4,4"
316009843,0,,JRW,52,13,6,"3,10,2,4"
366767150,9070254,WCC9031,LINDSEY FOSS,52,51,16,"25,26,7,9"
316005727,0,,C.H. CATES VII,52,17,7,"8,9,4,3"
356527000,8302557,3EGU9,AMALIA DEL BENE,70,0,0,"0,0,0,0"
367392530,8855205,WDE7375,LAST FRONTIER,30,33,8,"23,10,4,4"
316005845,0,,WESTMINSTER APACHE,52,15,6,"5,10,4,2"
563178000,8507614,9VOL,ATLANTIC BREEZE,70,195,29,"57,138,11,18"
367122220,9369203,WDD2974,REVOLUTION,52,24,12,"12,12,6,6"
355149000,9229300,H9JW,NYK LODESTAR,79,299,40,"22,277,20,20"
563654000,9299422,9VJK2,MAERSK BERING,85,176,30,"153,23,16,14"
367152140,7233266,WDD4991,ANNE CARLANDER,31,21,7,"0,21,0,7"
367005070,0,WOC3277,CHIEF SEATTLE,51,32,8,"18,14,2,6"
367187410,0,WDD7509,SELDOVIA,30,29,9,"0,29,0,9"
366773090,0,WL3377,TILLIKUM,60,94,27,"13,81,13,14"
316009839,0,,TIGER SHAMAN,52,12,6,"4,8,3,3"
316003008,0,CZ 3757,ISLAND BRAVE,52,18,6,"4,14,4,2"
316003656,7306647,CZ3582,CARRIER PRINCESS,71,112,20,"30,82,15,5"
366659730,0,WCN2606,CHRISTINE ANDERSON,0,0,0,"0,0,0,0"
367336380,9503847,WDE3251,ATB SKIPJACK,31,150,22,"122,28,11,11"
316011651,7530066,CZ8237,BURRARD OTTER,60,34,12,"17,17,6,6"
565503000,9403413,S6EB5,CAP ANDREAS,70,178,28,"158,20,15,13"
477339000,9159749,VRYL2,CASTLE ISLAND,70,177,26,"153,24,15,11"
372570000,9434682,3EOU,OCEANIC CERISE,82,127,20,"106,21,10,10"
316003657,0,,SEASPAN FOAM,31,20,6,"6,14,3,3"
319474000,9189110,ZCSV6,FOUR SCHOONER,89,228,32,"190,38,10,22"
987654321,0,221,MORAN BASESTATION,0,0,0,"0,0,0,0"
367309330,7114288,WDD9278,PACIFIC RAVEN,32,31,10,"8,23,5,5"
366773030,0,WX9439,HYAK WSF,60,106,22,"15,91,9,13"
300000000,300000000,AAAAAA,ZORRO,30,0,0,"0,0,0,0"
367001680,0,WB 4266,VULCAN,52,0,0,"0,0,0,0"
565886000,9404223,9VLH5,EMIRATES STAR,89,183,32,"150,33,9,23"
366985310,0,WCZ9381,BAY MONARCH,60,43,11,"12,31,5,6"
366972000,7923495,AENO,ESSAYONS,99,108,21,"77,31,10,11"
366182680,0,WAX4866,BRENNA A,0,35,10,"33,2,8,2"
367029760,0,WDC8028,SKAGIT,52,0,0,"0,0,0,0"
31200012,31200012,CZ3230,PORT FRASER,90,0,0,"0,0,0,0"
366838990,6571376,WDA7043,ISLAND    CHIEF,31,0,0,"0,0,0,0"
366772770,9892938,WX9133,HIYU WSF,60,54,30,"26,28,13,17"
354337000,9118836,3FAK5,MOL STRENGTH,70,250,32,"191,59,19,13"
316011773,303174162,D11233,GRIZZLY 60,35,33,8,"0,33,0,8"
413090000,9308962,BOEJ,LIAN PING HU,80,229,32,"191,38,10,22"
351457000,9162394,3FFJ7,ORTO,70,120,19,"104,16,10,9"
366982290,503101,WDB9760,DIANE FOSS,31,22,8,"4,18,2,6"
366781980,0,WCZ8180,ROYAL ARGOSY,60,57,14,"14,43,7,7"
369950000,0,NAVY 42,US GOV VESSEL,35,156,20,"59,97,10,10"
338195000,5228827,WN4201,MATANUSKA,69,124,22,"36,88,8,14"
